,B2B,,,,,,,
,Sr. No,Name of Event,Tentative Month,Mode,Location,TA,Relevant For,Core Outcomes
,1.0,NAFSA,May,In Person,USA,"Universities, Edtech Companies, Agents, Recruitment Service Providers, Test Prep Companies","Universities, Edtech Companies, Agents, Recruitment Service Providers, Test Prep Companies","Business Development, Brand Building, Networking, Professional Development"
,2.0,IACAC,July,In Person,North America,"Counsellors, Universities, Guidance Edtech companies","Counsellors, Universities, Guidance Edtech companies","Business Development, Brand Building, Networking, Professional Development"
,3.0,BMI,Ongoing,In Person,Global,School Counsellors,"Counsellors, Universities, Guidance Edtech companies","Business Development, Brand Building, Networking, Professional Development"
,4.0,PIE LIVE,July/Sep,In Person,Queensland/London,"Universities, Edtech Companies, Agents, Recruitment Service Providers, Test Prep Companies","Universities, Edtech Companies, Agents, Recruitment Service Providers, Test Prep Companies","Business Development, Brand Building, Networking, Professional Development"
